,spearman,spearmanp,cell_fate_correct,perturbation,index,network,p,threshold_number,pruning,somePredictionRefused
205,0.22193800006653044,2.071829770314621e-30,0.0,SOX10,0,dense,0.001,2000,harsh,True
206,0.28141651237011317,1.3898174281153554e-48,0.0,SOX17,0,dense,0.001,2000,harsh,False
207,0.23395065773539592,1.0741009592487118e-33,0.0,SOX2,0,dense,0.001,2000,harsh,False
208,0.2586088574411927,4.830436251660223e-41,0.0,SOX5,0,dense,0.001,2000,harsh,True
209,0.2160420882270114,7.241475400585977e-29,0.0,SOX6,0,dense,0.001,2000,harsh,True
210,0.2639053164887891,9.946984215009106e-43,0.0,SOX7,0,dense,0.001,2000,harsh,False
211,0.19521431305116851,9.01786277040045e-24,0.0,SOX9,0,dense,0.001,2000,harsh,False
212,0.0,1.0,,SPI1,0,dense,0.001,2000,harsh,True
213,0.26484996416854345,4.9299856611998904e-43,0.0,SPIB,0,dense,0.001,2000,harsh,False
214,0.26403753885272013,9.017722236363942e-43,0.0,SPIC,0,dense,0.001,2000,harsh,True
215,0.0,1.0,,SPZ1,0,dense,0.001,2000,harsh,True
216,0.0,1.0,,STAT4,0,dense,0.001,2000,harsh,True
217,0.0,1.0,,STAT5A,0,dense,0.001,2000,harsh,True
218,0.0,1.0,,SUB1,0,dense,0.001,2000,harsh,True
219,0.053307533034873185,0.006521143949560333,0.0,TAL1,0,dense,0.001,2000,harsh,False
220,0.18388972781285884,3.1317229843980294e-21,0.0,TBX3,0,dense,0.001,2000,harsh,True
221,0.0,1.0,,TBX4,0,dense,0.001,2000,harsh,True
222,0.3003375874040102,2.101752335030878e-55,0.0,TBX5,0,dense,0.001,2000,harsh,False
223,0.0,1.0,,TCEA3,0,dense,0.001,2000,harsh,True
224,0.257531601308101,1.05250410100787e-40,0.0,TCF4,0,dense,0.001,2000,harsh,True
225,0.14597298632547784,7.20795064384622e-14,0.0,TCF7L2,0,dense,0.001,2000,harsh,True
226,0.0,1.0,,TEAD4,0,dense,0.001,2000,harsh,True
227,0.15399247235842356,2.788462518216847e-15,0.0,TFAP2A,0,dense,0.001,2000,harsh,False
228,0.0,1.0,,TFAP2B,0,dense,0.001,2000,harsh,True
229,0.0,1.0,,TFAP2C,0,dense,0.001,2000,harsh,True
230,0.22817757710933778,4.301109251334548e-32,0.0,TFCP2L1,0,dense,0.001,2000,harsh,False
231,0.1574477548613209,6.503041304121682e-16,0.0,TFE3,0,dense,0.001,2000,harsh,False
232,0.0,1.0,,TGM2,0,dense,0.001,2000,harsh,True
233,0.0,1.0,,TP53,0,dense,0.001,2000,harsh,True
234,0.0,1.0,,TRPV2,0,dense,0.001,2000,harsh,True
235,0.0,1.0,,TSHZ1,0,dense,0.001,2000,harsh,True
236,0.0,1.0,,TYRP1,0,dense,0.001,2000,harsh,True
237,0.0,1.0,,VDR,0,dense,0.001,2000,harsh,True
238,0.0,1.0,,WRNIP1,0,dense,0.001,2000,harsh,True
239,0.1714486642313225,1.2701618232390262e-18,0.0,WT1,0,dense,0.001,2000,harsh,False
240,0.2462423836517566,2.960294378672389e-37,0.0,ZBED4,0,dense,0.001,2000,harsh,True
241,0.12374030877136008,2.381011541205679e-10,0.0,ZBTB3,0,dense,0.001,2000,harsh,True
242,0.3277590409889446,3.0919240664069404e-66,0.0,ZIC1,0,dense,0.001,2000,harsh,False
243,0.2990842117923043,6.174412680610258e-55,0.0,ZIC3,0,dense,0.001,2000,harsh,False
244,0.0,1.0,,ZMAT4,0,dense,0.001,2000,harsh,True
245,0.0,1.0,,ZMYND12,0,dense,0.001,2000,harsh,True
246,0.0,1.0,,ZNF274,0,dense,0.001,2000,harsh,True
247,0.19362094212405515,2.1002313016778957e-23,0.0,ZNF281,0,dense,0.001,2000,harsh,True
248,0.1954558128748905,7.928227319688522e-24,0.0,ARID3B,0,dense,0.001,2000,harsh,True
249,0.2288582239428598,2.7985095160463765e-32,0.0,BMP2,0,dense,0.001,2000,harsh,True
250,0.20877115984276673,5.028652563924061e-27,0.0,BMP7,0,dense,0.001,2000,harsh,True
251,0.05108740477127489,0.0091363494630898,0.0,CBFB,0,dense,0.001,2000,harsh,True
252,0.0,1.0,,CBX3,0,dense,0.001,2000,harsh,True
253,0.0,1.0,,CHD5,0,dense,0.001,2000,harsh,True
254,0.18314846639908783,4.534413609175596e-21,0.0,CITED1,0,dense,0.001,2000,harsh,True
255,0.16107943845951958,1.3587265361115695e-16,1.0,CXXC5,0,dense,0.001,2000,harsh,True
256,0.06028250805709513,0.0020915785227379594,1.0,DMRT2,0,dense,0.001,2000,harsh,True
257,0.0,1.0,,E2F3,0,dense,0.001,2000,harsh,True
258,0.13587355614260552,3.374107427934929e-12,0.0,E2F5,0,dense,0.001,2000,harsh,True
259,0.11174384050902204,1.088694054476346e-08,1.0,EMX2,0,dense,0.001,2000,harsh,True
260,0.15497195163368363,1.8517939012851185e-15,0.0,ETV4,0,dense,0.001,2000,harsh,False
261,0.0,1.0,,FGR,0,dense,0.001,2000,harsh,True
262,0.16153608288813665,1.113030330379908e-16,0.0,FOSB,0,dense,0.001,2000,harsh,True
263,0.09044674343850306,3.8039561875391135e-06,1.0,HES6,0,dense,0.001,2000,harsh,True
264,0.11914757581648112,1.0762281544234455e-09,0.0,HMGA1,0,dense,0.001,2000,harsh,False
265,0.11843233811485546,1.3543810925552365e-09,0.0,HOXA1,0,dense,0.001,2000,harsh,True
266,0.0,1.0,,HOXA7,0,dense,0.001,2000,harsh,True
267,0.0,1.0,,HOXC5,0,dense,0.001,2000,harsh,True
268,0.0,1.0,,ILF2,0,dense,0.001,2000,harsh,True
269,0.07577697396517004,0.00010891617745394277,1.0,KLF6,0,dense,0.001,2000,harsh,True
270,0.0660589648453557,0.000745249923081891,1.0,MYCN,0,dense,0.001,2000,harsh,False
271,0.0,1.0,,NFYA,0,dense,0.001,2000,harsh,True
272,0.19017759651971614,1.2730848675183249e-22,0.0,OSR1,0,dense,0.001,2000,harsh,True
273,0.0,1.0,,PGF,0,dense,0.001,2000,harsh,True
274,0.0,1.0,,PREB,0,dense,0.001,2000,harsh,True
275,0.0,1.0,,PRICKLE1,0,dense,0.001,2000,harsh,True
276,0.0,1.0,,S1PR1,0,dense,0.001,2000,harsh,True
277,0.058901115928535926,0.0026446676301295938,1.0,SATB1,0,dense,0.001,2000,harsh,True
278,0.08173272958056889,2.980451471202456e-05,1.0,TEAD2,0,dense,0.001,2000,harsh,True
279,0.19260534382598948,3.586175263656482e-23,1.0,TEF,0,dense,0.001,2000,harsh,False
280,0.0,1.0,,TGFBR2,0,dense,0.001,2000,harsh,True
281,0.0,1.0,,THAP10,0,dense,0.001,2000,harsh,True
282,0.0,1.0,,THRA,0,dense,0.001,2000,harsh,True
283,0.154365285310357,2.386909227566581e-15,0.0,TNF,0,dense,0.001,2000,harsh,True
284,0.15985021329408972,2.317745327508229e-16,1.0,ZBTB44,0,dense,0.001,2000,harsh,True
285,0.0,1.0,,ZNF70,0,dense,0.001,2000,harsh,True
286,0.0,1.0,,ZNF74,0,dense,0.001,2000,harsh,True
287,0.0,1.0,,ZNF780A,0,dense,0.001,2000,harsh,True
288,0.0,1.0,,ANKRD22,1,random0.1,1.0,102313295,none,True
289,0.18497402556294754,1.8173306043661557e-21,0.0,ARID3A,1,random0.1,1.0,102313295,none,True
290,0.22010939498687276,6.307921766407822e-30,0.0,ARNT2,1,random0.1,1.0,102313295,none,True
291,0.27884295147792215,1.0730547389717477e-47,0.0,ASCL1,1,random0.1,1.0,102313295,none,True
292,0.16924586463959507,3.5145956382187894e-18,0.0,ASCL2,1,random0.1,1.0,102313295,none,True
293,0.1439725734016379,1.5784326773692325e-13,0.0,ATF1,1,random0.1,1.0,102313295,none,True
294,0.18561299508273368,1.3166547434799895e-21,0.0,ATF3,1,random0.1,1.0,102313295,none,False
295,0.3557650581187951,1.6216693222658727e-78,0.0,ATOH1,1,random0.1,1.0,102313295,none,True
296,0.21997596013204274,6.839113608863752e-30,0.0,BATF,1,random0.1,1.0,102313295,none,True
297,0.11692622139830408,2.187996790504546e-09,0.0,BATF3,1,random0.1,1.0,102313295,none,True
298,0.24658157885969617,2.345455382348727e-37,1.0,BCL6,1,random0.1,1.0,102313295,none,True
299,0.349298799975373,1.439951238359574e-75,0.0,BMP4,1,random0.1,1.0,102313295,none,True
300,0.20768350089892385,9.356406250876472e-27,0.0,BRF2,1,random0.1,1.0,102313295,none,True
301,0.14350981426069298,1.8892954119988701e-13,0.0,CBX2,1,random0.1,1.0,102313295,none,True
302,0.0,1.0,,CCNE1,1,random0.1,1.0,102313295,none,True
303,0.0,1.0,,CDYL,1,random0.1,1.0,102313295,none,True
304,0.3605573390895722,9.549860772575106e-81,0.0,CEBPA,1,random0.1,1.0,102313295,none,False
305,0.2538150315848139,1.5028629935357497e-39,0.0,CEBPB,1,random0.1,1.0,102313295,none,False
306,0.2381550921342968,6.857401592605838e-35,0.0,CEBPD,1,random0.1,1.0,102313295,none,True
307,0.0,1.0,,CRY1,1,random0.1,1.0,102313295,none,True
308,0.0,1.0,,CRY2,1,random0.1,1.0,102313295,none,True
309,0.17974283233769608,2.4337719689323655e-20,0.0,CTBP2,1,random0.1,1.0,102313295,none,True
310,0.2507644381767327,1.2899920512483688e-38,0.0,CUX1,1,random0.1,1.0,102313295,none,True
311,0.0,1.0,,DEDD2,1,random0.1,1.0,102313295,none,True
312,0.23260392914761446,2.5634089078944843e-33,0.0,DLX2,1,random0.1,1.0,102313295,none,True
313,0.2593825729951038,2.754661940268851e-41,0.0,DLX3,1,random0.1,1.0,102313295,none,True
314,0.2220207854647904,1.969520020321301e-30,0.0,DLX5,1,random0.1,1.0,102313295,none,False
